1,2,3,4
42.8,50.9,58.3,6615.3
42.7,50.7,52.1,6275.3
42.8,50.3,45.4,5666.3
42.9,49.8,39.4,5220.5
42.9,49.6,35.3,4965.3
42.8,50.1,34.9,4944.8
42.7,51.3,38.6,5088.8
42.9,52.1,44.8,5364
42.8,52.7,51.3,5779.5
42.9,53.2,57.3,6418.5
42.9,53.6,64,6770.5
42.7,54,70.4,7141
42.7,54.4,74.4,7641.8
42.9,55.2,76.3,7887.5
42.9,57.5,72,6834.5
42.8,57.9,64.6,6134
42.9,57.7,58.3,5669
42.8,57.5,52.5,5087
42.8,57.1,45.8,4628.5
42.9,56.9,39.6,4318
42.9,56.5,35.3,4061.7
42.7,57.1,34.9,4096.3
42.8,58.3,38.6,4290
42.7,59.3,44.8,4516
42.9,59.9,51.3,4980.3
42.7,60.3,57.7,5309.5
42.9,60.5,63.6,5755.3
42.7,61.1,70.6,6355
42.8,61.3,74.4,6582.3
42.8,61.5,75.7,6709.3
42.8,62.6,70.8,6047.5
42.8,62.8,64.8,5509.5
42.8,62.6,58.3,5012
42.9,62.3,52.1,4636.5
42.8,61.9,45.8,4205.5
42.7,61.5,39.4,3790
42.9,61.3,35.3,3646
48.2,61.1,34.9,3898.7
47.8,61.1,38.4,4000
47.8,61.3,44.8,4539.8
47.8,61.5,51.3,4956.8
48,61.7,57.5,5360.8
47.8,62.1,63.8,5888
47.9,62.3,70.2,6224.3
48,62.6,75.1,6591.3
47.9,61.9,76.5,6865
48,60.1,70.6,6450.8
47.8,59.5,64.4,6234.5
47.8,59.1,58.3,5657.3
47.9,58.7,52.3,5236
47.9,58.5,46,4804
47.9,58.1,39.6,4404
47.8,57.9,35.3,4226.5
47.9,56.5,34.9,4285.5
47.8,55.6,38.6,4772
48,55,44.8,5153.3
47.9,55,51.1,5732.3
47.8,55,57.7,6323.5
47.8,55.2,63.8,6772.3
47.9,55.4,70,7447.3
48,55.6,74.4,7839
47.8,54.2,76.7,8197.8
47.8,53.2,70.8,7774.3
47.9,52.5,64.8,7107.5
47.8,52.3,58.5,6655.7
48,51.9,52.1,6391.3
47.8,51.5,46,5870
47.9,51.3,39.6,5297
47.9,51.1,35.1,5151
47.8,49.2,34.7,5310.3
47.8,48.4,38.4,5742.3
47.8,48.2,45,6341.3
48,48.2,51.1,6915.5
48,48.2,57.9,7404.8
48,48.4,63.8,8116.8
47.8,48.8,70,8692.8
47.9,48.8,74,9186.5
48,47.4,76.1,9537
47.9,46.4,70.6,9120
47.9,46,64.4,8458.3
47.9,45.6,58.3,8071.3
48,45.2,51.9,7517
47.8,45,45.6,6993
47.9,44.8,39.2,6368.8
47.9,44.4,35.1,6143
47.9,42.3,34.5,6502
47.8,41.7,38.4,6876.3
48,41.5,44.6,7559.8
47.9,41.5,50.9,8181.8
47.8,41.7,56.9,8831.5
48,41.9,62.8,9414.5
47.9,42.3,69.8,10162.3
47.9,42.5,73,10579.5
47.9,41.1,75.1,11176.3
47.8,40.2,69.6,10634.8
48,39.8,63.8,10004.3
47.8,39.4,57.7,9331.8
47.9,39,51.5,8668
48,38.6,45.4,8319.8
47.8,38.2,39.2,7665
47.8,38,34.9,7393
47.9,35.7,34.3,7776
47.9,35.3,38.2,8196.5
47.9,35.1,44.4,8888
47.9,35.1,50.7,9560.3
47.9,35.1,56.7,10221.8
47.9,35.3,63,10995
47.9,35.7,69,11791.3
48,35.9,73,12343.7
48,35.9,75.3,12496.5
48,35.5,70.2,11963.5
48,35.1,64.2,11139.8
47.9,34.7,58.1,10379
47.8,34.3,51.9,9873.3
47.9,33.9,45.6,9214.5
47.8,33.5,39.2,8760
47.9,32.9,35.3,8338.5
53.4,32.9,34.9,8796
52.9,32.7,38.2,9078.8
52.9,32.9,44.6,9785.5
52.8,33.1,50.1,10307.3
52.8,33.5,56.3,10968.3
52.8,33.9,62.5,11678
52.8,34.1,68.8,12472.5
52.9,35.3,74,12992.8
52.8,36.1,73.4,12916.8
52.9,38.8,67.5,11399.5
52.8,39.2,62.1,10557.3
52.8,39.2,56.9,9907
52.9,38.8,51.5,9318.5
52.9,38.6,45.2,8768
52.9,38.2,39.4,8256
52.8,38,35.5,7850
52.9,38.4,35.1,7895.7
52.9,39.6,38.6,7833
53,40.7,44.6,8340
52.9,41.1,50.3,8766.8
52.8,41.5,56.3,9329.3
52.9,41.9,63,9961.8
53,42.3,70.8,10641
53,42.3,75.1,11299
52.8,43.1,76.7,11204.5
52.9,45.4,71,9912.5
52.9,45.6,64.4,9183.8
52.9,44.8,61.5,8607.3
52.7,44,54.6,8033.3
52.8,44,46.2,7459.8
53,44,39.8,6939.5
52.9,43.8,35.7,6608.3
52.8,44.2,35.3,6658.3
52.9,45.4,38.8,6770.5
52.8,46.2,45,7088.3
52.9,47,51.9,7507
52.9,47.4,57.9,8078.3
53,47.8,64,8688.8
52.9,48.2,71.4,9278.8
52.8,48.4,75.3,9764.3
52.9,49.4,77.1,9741.3
52.8,51.7,72,8632.5
52.9,51.9,65.2,7907
52.9,51.7,59.1,7309.8
52.9,51.5,52.7,6775.3
53,51.1,46.4,6191.8
52.9,50.7,40,5777.5
52.9,50.5,35.9,5477
52.9,51.1,35.5,5527.5
52.8,52.3,39,5536
52.8,53.2,45.2,5889.8
53,53.8,51.9,6485.8
52.9,54.2,58.1,6757.3
53,54.6,64.4,7351.7
52.8,55,72,7860.8
52.9,55.2,75.3,8248.5
52.9,56.3,77.3,8396.3
52.9,58.3,72,7339.3
52.9,58.7,65.4,6651.7
52.9,58.7,59.1,6218
52.8,58.5,52.5,5626.8
52.8,58.1,46.4,5220.8
52.9,57.7,40,4781.5
53,57.5,35.7,4622.5
52.8,57.9,35.3,4494
52.9,59.1,39,4614.8
53,60.1,45.2,5014.8
52.8,60.7,51.7,5338.5
52.9,61.1,58.1,5821.5
52.9,61.5,64.6,6229.5
52.8,61.9,71.4,6737.3
52.9,62.3,75.3,7162
53,62.3,76.5,7190.8
52.9,63.6,72,6498.3
52.8,63.6,64.8,5825.3
52.9,63.4,58.9,5453.8
52.9,63.2,52.7,5073.8
52.8,62.8,46.2,4639.3
53,62.5,40,4098
52.9,62.3,35.7,3993
57.9,62.3,35.3,4246.8
57.7,62.1,39,4438
57.7,62.3,45.2,4824.5
57.7,62.5,51.7,5440.8
57.7,62.6,58.3,5771
57.7,63,64.8,6250.5
57.7,63.2,71,6704.3
57.7,63.2,75.1,7181.3
57.7,62.3,77.1,7420.3
57.8,60.9,72,7070.5
57.7,60.1,65.2,6682.5
57.7,59.9,58.9,6175.8
57.6,59.5,52.9,5582.8
57.7,58.9,46.4,5184.3
57.7,57.7,40,4948.8
57.8,57.3,35.9,4791.5
57.7,55.6,35.5,4812.7
57.7,54.6,39.2,5305.8
57.7,54.2,45.4,5912.5
57.6,54.2,51.7,6407
57.7,54.4,57.7,6923.8
57.7,55,62.3,7384
57.7,55.2,67.7,7847.8
57.7,55.4,72,8206
