0,1,2,3
0.085581395348837,0.08625,0.12,0.13074
0.084651162790698,0.09375,0.16875,0.138722222222222
0.083255813953488,0.1025,0.245,0.147328888888889
0.083720930232558,0.11,0.315,0.159528888888889
0.082790697674419,0.1175,0.38875,0.173017777777778
0.083720930232558,0.1275,0.47375,0.188933333333333
0.083720930232558,0.1325,0.5525,0.199562222222222
0.083255813953488,0.1375,0.60875,0.218371111111111
0.082790697674419,0.18125,0.69125,0.215266666666667
0.083255813953488,0.19625,0.6125,0.186455555555556
0.083255813953488,0.19875,0.5375,0.170373333333333
0.083255813953488,0.19875,0.46125,0.152117777777778
0.083255813953488,0.19375,0.39375,0.139184444444444
0.083720930232558,0.18875,0.3175,0.126455555555556
0.083255813953488,0.18375,0.24,0.115573333333333
0.083255813953488,0.18125,0.19125,0.107333333333333
0.083720930232558,0.18625,0.18625,0.107177777777778
0.083720930232558,0.20125,0.2275,0.10954
0.083255813953488,0.21625,0.3075,0.120362222222222
0.083255813953488,0.225,0.38625,0.131651111111111
0.083720930232558,0.2325,0.46125,0.143595555555556
0.083255813953488,0.235,0.535,0.157644444444444
0.083255813953488,0.24,0.60875,0.172595555555556
0.083720930232558,0.2425,0.6525,0.1834
0.083255813953488,0.2525,0.675,0.181855555555556
0.083255813953488,0.28375,0.6175,0.158215555555556
0.083720930232558,0.28625,0.53125,0.139184444444444
0.083255813953488,0.28375,0.45,0.120484444444444
0.082790697674419,0.28125,0.38625,0.111444444444444
0.083720930232558,0.27625,0.3175,0.101933333333333
0.082790697674419,0.27125,0.24,0.08914
0.083720930232558,0.26625,0.19375,0.082711111111111
0.083255813953488,0.27125,0.18875,0.082077777777778
0.083720930232558,0.28625,0.2325,0.085395555555556
0.083255813953488,0.3,0.3075,0.092933333333333
0.083720930232558,0.3075,0.38125,0.10284
0.083720930232558,0.3125,0.45625,0.113528888888889
0.083255813953488,0.3175,0.52875,0.125862222222222
0.083720930232558,0.3225,0.60125,0.137622222222222
0.083255813953488,0.3225,0.645,0.147717777777778
0.083720930232558,0.34,0.66,0.145222222222222
0.082790697674419,0.365,0.6125,0.124866666666667
0.083255813953488,0.37,0.535,0.112444444444444
